title,Author(s),Year published,Approximate sales,Original language,book_series,No. of installments,First published,first,last
the good soldier švejk (osudy dobrého vojáka švejka za světové války),jaroslav hašek,1923-01-01,20.0,ces,n,,1923,1923,
where the wild things are,maurice sendak,1963-01-01,20.0,eng,n,,1963,1963,
the power of positive thinking,norman vincent peale,1952-01-01,20.0,eng,n,,1952,1952,
the secret,rhonda byrne,2006-01-01,20.0,eng,n,,2006,2006,
fear of flying,erica jong,1973-01-01,20.0,eng,n,,1973,1973,
dune,frank herbert,1965-01-01,20.0,eng,n,,1965,1965,
charlie and the chocolate factory,roald dahl,1964-01-01,20.0,eng,n,,1964,1964,
the naked ape,desmond morris,1968-01-01,20.0,eng,n,,1968,1968,
"totto-chan, the little girl at the window (窓ぎわのトットちゃん)",tetsuko kuroyanagi,1981-01-01,18.0,jpn,n,,1981,1981,
matilda,roald dahl,1988-01-01,17.0,eng,n,,1988,1988,
the book thief,markus zusak,2005-01-01,16.0,eng,n,,2005,2005,
the horse whisperer,nicholas evans,1995-01-01,16.0,eng,n,,1995,1995,
goodnight moon,margaret wise brown,1947-01-01,16.0,eng,n,,1947,1947,
the neverending story (die unendliche geschichte),michael ende,1979-01-01,16.0,deu,n,,1979,1979,
all the light we cannot see,anthony doerr,2014-01-01,15.3,eng,n,,2014,2014,
fifty shades of grey,e. l. james,2011-01-01,15.2,eng,n,,2011,2011,
where the crawdads sing,delia owens,2018-01-01,15.0,eng,n,,2018,2018,
the outsiders,s. e. hinton,1967-01-01,15.0,eng,n,,1967,1967,
guess how much i love you,sam mcbratney,1994-01-01,15.0,eng,n,,1994,1994,
shōgun,james clavell,1975-01-01,15.0,eng,n,,1975,1975,
the poky little puppy,janette sebring lowrey,1942-01-01,15.0,eng,n,,1942,1942,
the pillars of the earth,ken follett,1989-01-01,15.0,eng,n,,1989,1989,
perfume (das parfum),patrick süskind,1985-01-01,15.0,deu,n,,1985,1985,
the grapes of wrath,john steinbeck,1939-01-01,15.0,eng,n,,1939,1939,
the shadow of the wind (la sombra del viento),carlos ruiz zafón,2001-01-01,15.0,spa,n,,2001,2001,
interpreter of maladies,jhumpa lahiri,2000-01-01,15.0,eng,n,,2000,2000,
becoming,michelle obama,2018-01-01,14.0,eng,n,,2018,2018,
the hitchhiker's guide to the galaxy,douglas adams,1979-01-01,14.0,eng,n,,1979,1979,
tuesdays with morrie,mitch albom,1997-01-01,14.0,eng,n,,1997,1997,
god's little acre,erskine caldwell,1933-01-01,14.0,eng,n,,1933,1933,
follow your heart (va' dove ti porta il cuore),susanna tamaro,1994-01-01,14.0,ita,n,,1994,1994,
